question,answer,context
How did NVIDIA's operating expenses change from 2023 to 2025?,Operating expenses rose from $7.0 billion in 2023 to $10.5 billion in 2025.,"NVIDIA’s operating expenses increased from $7.0B in fiscal 2023 to $10.5B in 2025, reflecting investments in R&D and global expansion."
What platform does NVIDIA use to deliver 3D simulation and collaboration tools?,NVIDIA Omniverse.,"Omniverse enables real-time collaboration and physically accurate 3D simulation for industries such as architecture, design, and robotics."
"How did NVIDIA’s cash, cash equivalents, and marketable securities change in fiscal 2025?","They totaled $31.4 billion in 2025, down slightly from 2024.","NVIDIA held $31.4 billion in cash, equivalents, and securities at the end of fiscal 2025, a modest decline due to capital returns and investments."
Which NVIDIA platform provides simulation for self-driving technology?,NVIDIA DRIVE Sim.,"DRIVE Sim, based on Omniverse, provides scalable simulation for autonomous vehicle testing and development."
What is NVIDIA’s primary focus for its Grace Hopper Superchip?,To accelerate workloads in generative AI and large language models.,"The Grace Hopper Superchip combines GPU and CPU architectures for large-scale AI and HPC applications, particularly LLMs."
Which NVIDIA software offering enables enterprises to run AI workloads with validated infrastructure?,NVIDIA AI Enterprise.,NVIDIA AI Enterprise is a software suite that supports AI development and deployment on NVIDIA-Certified infrastructure.
How did NVIDIA support remote work flexibility in 2023 and beyond?,By maintaining a hybrid work environment with virtual tools and flexible locations.,"NVIDIA embraced hybrid work, offering flexible locations and remote collaboration tools post-pandemic."
What does the NVIDIA Inception program support?,Startup companies focused on AI and data science innovation.,"The Inception program aids over 13,000 startups by providing technical resources, go-to-market support, and networking opportunities."
How many applications were supported by NVIDIA GPUs for HPC by 2024?,"Over 2,800 applications.","NVIDIA GPUs accelerated more than 2,800 high-performance computing applications, including 23 of the top 25 HPC programs."
What was NVIDIA’s approach to minimizing environmental impact in product design?,Improving energy efficiency and performance per watt of GPUs.,"NVIDIA designs its GPUs for energy efficiency, which is critical in AI and HPC applications where power consumption is significant."
Which NVIDIA service offers access to pretrained models and APIs?,NVIDIA AI Foundations.,AI Foundations is a suite of cloud services that offers enterprise access to customizable pretrained models and APIs for generative AI.
How did NVIDIA's GeForce NOW service evolve by 2024?,It expanded its game library and streaming partnerships globally.,"GeForce NOW grew to include more AAA games and added regional partnerships, broadening access to cloud gaming."
What processor design did NVIDIA introduce to optimize network traffic in data centers?,BlueField DPU.,"The BlueField DPU offloads, accelerates, and secures networking and storage tasks, optimizing data center operations."
Which NVIDIA platform targets robotics and embedded edge AI?,Jetson platform.,"The Jetson family supports robotics, AIoT, and edge computing with low-power, high-performance system-on-modules."
What internal resource groups does NVIDIA support for inclusion?,Nine community resource groups for diverse identities and interests.,NVIDIA supports inclusion via nine employee resource groups backed by executive sponsors and community engagement.
What key learning initiative does NVIDIA offer to educate developers in AI?,The NVIDIA Deep Learning Institute.,The Deep Learning Institute provides online and in-person training in AI and accelerated computing technologies.
What new CPU product did NVIDIA plan to ship samples of in early fiscal 2024?,Grace CPU.,"NVIDIA announced it would ship samples of its Grace CPU in early fiscal 2024, targeting HPC and AI infrastructure markets."
What financial milestone did NVIDIA achieve for EPS in fiscal 2025?,A record EPS of $11.93.,"Driven by strong data center performance, NVIDIA posted a record EPS of $11.93 in fiscal year 2025."
Which training program did NVIDIA provide to foster employee growth?,On-demand learning libraries and live coaching programs.,"To encourage growth, NVIDIA offered online modules, mentorship, and career development coaching programs in 2023."
How did NVIDIA’s automotive business evolve in 2024?,Expanded DRIVE Hyperion platform with simulation and in-vehicle AI features.,"The DRIVE Hyperion stack grew to include AI co-pilot features, simulation testing, and over-the-air update capabilities."
