"question","answer","context"
"What was NVIDIA's total revenue for fiscal year 2022?","$26.91 billion","NVIDIA's revenue for fiscal year 2022 was $26.91 billion, up 61% from the prior year."
"Which segment contributed the most to NVIDIA's fiscal 2022 revenue?","Graphics","The Graphics segment generated the majority of NVIDIA’s revenue in fiscal year 2022."
"What was NVIDIA's net income for fiscal year 2022?","$9.75 billion","Net income for fiscal year 2022 was $9.75 billion, a 125% increase from the previous year."
"How much did NVIDIA spend on research and development in fiscal year 2022?","$5.27 billion","Research and development expenses were $5.27 billion in fiscal year 2022."
"What were NVIDIA's total operating expenses in fiscal 2022?","$7.42 billion","Total operating expenses for fiscal year 2022 were $7.42 billion."
"How did NVIDIA's Data Center revenue change in fiscal year 2022?","Increased 58% to $10.61 billion","NVIDIA's Data Center revenue increased by 58% year-over-year to $10.61 billion in fiscal 2022."
"What was NVIDIA's gross margin in fiscal year 2022?","65.3%","NVIDIA's gross margin for fiscal 2022 was 65.3%."
"How did NVIDIA's Gaming revenue perform in fiscal 2022?","Grew 61% to $12.46 billion","Gaming revenue grew by 61% to $12.46 billion in fiscal year 2022."
"What was NVIDIA's effective tax rate for fiscal year 2022?","1.9%","The effective tax rate for fiscal year 2022 was 1.9%, reflecting tax benefits related to stock-based compensation."
"Which new product architecture did NVIDIA introduce in fiscal 2022?","Ampere","NVIDIA launched its Ampere architecture in fiscal 2022 to support gaming and data center products."
"What was the value of NVIDIA’s cash, cash equivalents and marketable securities at the end of fiscal 2022?","$21.21 billion","NVIDIA ended fiscal year 2022 with $21.21 billion in cash, cash equivalents, and marketable securities."
"What major acquisition did NVIDIA terminate in fiscal 2022?","Acquisition of Arm Limited","In fiscal 2022, NVIDIA terminated its proposed acquisition of Arm Limited due to regulatory challenges."
"What was the impact of NVIDIA's terminated Arm acquisition on its financials in fiscal 2022?","$1.35 billion write-off","NVIDIA recorded a $1.35 billion write-off due to the termination of its Arm acquisition."
"What was NVIDIA’s inventory balance at the end of fiscal year 2022?","$2.62 billion","Inventory at the end of fiscal 2022 was $2.62 billion."
"What was NVIDIA’s diluted earnings per share (EPS) in fiscal 2022?","$3.85","Diluted earnings per share in fiscal year 2022 were $3.85."
"How many employees did NVIDIA have at the end of fiscal year 2022?","22,473","At the end of fiscal year 2022, NVIDIA had 22,473 employees worldwide."
"What percentage of NVIDIA's revenue in fiscal 2022 was from international markets?","Over 80%","More than 80% of NVIDIA’s fiscal year 2022 revenue came from sales to customers outside the United States."
"How much revenue did NVIDIA generate from its Automotive segment in fiscal year 2022?","$566 million","NVIDIA’s Automotive segment generated $566 million in revenue during fiscal year 2022."
"What was the primary use of NVIDIA's capital expenditures in fiscal year 2022?","Data center and infrastructure investments","Capital expenditures in fiscal 2022 primarily supported data center and infrastructure investments."
"What was NVIDIA's long-term debt balance at the end of fiscal year 2022?","$10.95 billion","NVIDIA had a long-term debt balance of $10.95 billion at the end of fiscal 2022."
